Contig Number	S. lycopersicum cv Heinz (2.40)	S. lycopersicum cv Heinz (aplg ill 250+300+500+2k+3k+4k+5k)	S. habrochaites (aplg ill 170+500+2k)	S. pennellii (aplg ill 170+500+2k)	S. arcanum (aplg ill 170+500+2k)
"13015"	""	619786766	727100247	681560517	664230825
"13016"	""	619791280	727105546	681572008	664237076
"13017"	""	619795793	727110845	681583493	664243325
"13018"	""	619800303	727116143	681594977	664249571
"13019"	""	619804811	727121441	681606455	664255817
"13020"	""	619809318	727126739	681617926	664262061
"13021"	""	619813823	727132037	681629397	664268299
"13022"	""	619818326	727137332	681640867	664274535
"13023"	""	619822825	727142627	681652335	664280770
"13024"	""	619827324	727147920	681663796	664287004
"13025"	""	619831822	727153212	681675256	664293234
"13026"	""	619836319	727158500	681686715	664299463
"13027"	""	619840815	727163785	681698167	664305691
"13028"	""	619845310	727169060	681709618	664311919
"13029"	""	619849803	727174334	681721065	664318146
"13030"	""	619854295	727179605	681732510	664324371
"13031"	""	619858785	727184872	681743953	664330595
"13032"	""	619863274	727190139	681755393	664336814
"13033"	""	619867763	727195402	681766832	664343032
"13034"	""	619872249	727200661	681778268	664349248
"13035"	""	619876735	727205919	681789704	664355463
"13036"	""	619881220	727211174	681801139	664361676
"13037"	""	619885702	727216429	681812566	664367888
"13038"	""	619890183	727221679	681823990	664374099
"13039"	""	619894663	727226929	681835413	664380310
"13040"	""	619899142	727232178	681846834	664386516
"13041"	""	619903619	727237426	681858249	664392719
"13042"	""	619908096	727242674	681869663	664398921
"13043"	""	619912572	727247922	681881072	664405121
"13044"	""	619917046	727253169	681892474	664411319
"13045"	""	619921519	727258415	681903872	664417515
"13046"	""	619925990	727263660	681915270	664423705
"13047"	""	619930461	727268901	681926667	664429893
"13048"	""	619934932	727274142	681938064	664436080
"13049"	""	619939401	727279381	681949460	664442266
"13050"	""	619943868	727284620	681960850	664448449
"13051"	""	619948335	727289856	681972239	664454631
"13052"	""	619952801	727295091	681983627	664460813
"13053"	""	619957265	727300323	681995013	664466994
"13054"	""	619961727	727305546	682006398	664473173
"13055"	""	619966189	727310768	682017780	664479352
"13056"	""	619970650	727315987	682029156	664485527
"13057"	""	619975111	727321204	682040528	664491700
"13058"	""	619979571	727326418	682051898	664497872
"13059"	""	619984030	727331628	682063267	664504044
"13060"	""	619988487	727336832	682074633	664510215
"13061"	""	619992943	727342036	682085997	664516386
"13062"	""	619997397	727347240	682097361	664522556
"13063"	""	620001849	727352441	682108717	664528725
"13064"	""	620006300	727357637	682120071	664534890
"13065"	""	620010750	727362832	682131424	664541055
"13066"	""	620015198	727368027	682142775	664547219
"13067"	""	620019645	727373219	682154124	664553381
"13068"	""	620024089	727378408	682165471	664559542
"13069"	""	620028532	727383597	682176815	664565703
"13070"	""	620032971	727388783	682188156	664571862
"13071"	""	620037409	727393968	682199495	664578020
"13072"	""	620041846	727399152	682210834	664584177
"13073"	""	620046282	727404334	682222170	664590334
"13074"	""	620050717	727409514	682233504	664596490
"13075"	""	620055151	727414693	682244837	664602643
"13076"	""	620059584	727419870	682256168	664608795
"13077"	""	620064016	727425045	682267498	664614946
"13078"	""	620068445	727430216	682278827	664621095
"13079"	""	620072871	727435386	682290149	664627244
"13080"	""	620077296	727440551	682301465	664633393
"13081"	""	620081720	727445714	682312777	664639542
"13082"	""	620086143	727450877	682324088	664645689
"13083"	""	620090562	727456040	682335396	664651834
"13084"	""	620094980	727461203	682346704	664657975
"13085"	""	620099396	727466362	682358011	664664114
"13086"	""	620103811	727471519	682369317	664670253
"13087"	""	620108223	727476675	682380622	664676391
"13088"	""	620112635	727481825	682391922	664682529
"13089"	""	620117042	727486974	682403222	664688666
"13090"	""	620121448	727492121	682414517	664694803
